,model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day
87,Peugeot,220296.0,130.0,diesel,black,coupe,False,False,False,False,True,False,True,87.0
88,Citroën,125965.0,135.0,diesel,blue,coupe,False,True,False,False,True,True,True,153.0
89,Citroën,193330.0,120.0,diesel,grey,coupe,True,True,False,False,True,True,True,152.0
90,Renault,12402.0,170.0,hybrid_petrol,grey,coupe,True,True,False,False,False,False,False,309.0
91,Citroën,147130.0,135.0,diesel,black,coupe,False,True,False,False,True,False,True,152.0
92,Citroën,96260.0,135.0,diesel,white,coupe,False,True,False,False,True,True,True,159.0
93,Peugeot,99283.0,309.0,petrol,silver,coupe,False,False,False,False,True,False,True,169.0
94,Citroën,48431.0,135.0,diesel,grey,coupe,True,True,False,True,True,True,True,164.0
95,PGO,170862.0,170.0,diesel,white,coupe,True,False,False,False,True,True,True,96.0
96,Citroën,100154.0,135.0,diesel,grey,coupe,True,True,False,False,True,False,True,150.0
97,Citroën,187967.0,120.0,petrol,grey,coupe,True,True,False,False,False,True,True,56.0
98,Citroën,39228.0,135.0,diesel,grey,coupe,False,False,False,False,True,False,True,121.0
99,Renault,90763.0,230.0,diesel,white,coupe,False,True,True,False,False,True,False,162.0
100,Citroën,342768.0,135.0,diesel,black,coupe,False,True,False,False,True,False,True,91.0
101,Citroën,188335.0,130.0,diesel,grey,coupe,False,False,False,False,True,False,True,93.0
102,Renault,37619.0,240.0,petrol,black,coupe,True,False,False,False,True,True,True,166.0
103,Citroën,107375.0,135.0,diesel,white,coupe,True,True,False,False,True,True,True,154.0
104,Peugeot,87304.0,225.0,petrol,white,coupe,True,True,True,False,True,True,True,153.0
105,Citroën,33947.0,135.0,petrol,grey,coupe,False,True,False,False,True,True,True,167.0
106,Citroën,61429.0,135.0,diesel,black,coupe,True,True,False,False,True,False,True,164.0
107,Renault,149943.0,190.0,petrol,black,coupe,True,True,True,False,True,True,True,102.0
108,Renault,36139.0,230.0,diesel,beige,coupe,True,True,False,False,True,False,True,179.0
109,Citroën,41353.0,135.0,diesel,black,coupe,False,False,False,False,True,True,True,148.0
110,Renault,121100.0,230.0,diesel,black,coupe,True,True,True,True,True,True,True,169.0
111,Citroën,80540.0,120.0,petrol,black,coupe,False,True,False,True,True,False,True,148.0
112,Renault,126685.0,230.0,diesel,black,coupe,True,True,True,True,True,True,True,191.0
113,Citroën,12634.0,142.0,diesel,grey,coupe,True,True,False,False,True,False,True,133.0
114,Citroën,47902.0,140.0,diesel,black,coupe,True,True,False,False,True,True,True,175.0
115,Renault,63421.0,230.0,diesel,blue,coupe,True,True,True,True,True,True,True,214.0
116,Peugeot,70880.0,190.0,diesel,blue,coupe,False,True,False,False,False,True,True,169.0
117,Citroën,174740.0,135.0,diesel,white,coupe,True,True,True,False,True,True,True,150.0
118,Renault,162327.0,190.0,diesel,black,coupe,True,True,False,True,True,True,True,153.0
119,Citroën,45299.0,120.0,diesel,brown,coupe,True,True,False,False,True,False,True,166.0
120,Citroën,268780.0,225.0,petrol,white,coupe,True,True,True,False,True,True,True,114.0
121,Citroën,61620.0,120.0,diesel,blue,coupe,False,True,False,True,True,True,True,164.0
122,Citroën,116134.0,135.0,diesel,grey,coupe,False,True,False,False,True,True,True,148.0
123,Citroën,46706.0,120.0,diesel,blue,coupe,True,True,False,False,True,True,True,155.0
124,Citroën,260217.0,120.0,diesel,grey,coupe,True,True,False,False,True,True,True,92.0
125,Citroën,143853.0,120.0,diesel,black,coupe,True,True,True,False,True,True,True,130.0
126,Citroën,65008.0,140.0,diesel,white,coupe,True,False,True,False,True,True,True,156.0
127,Citroën,189137.0,130.0,diesel,grey,coupe,False,False,False,False,True,False,True,93.0
128,Citroën,140694.0,120.0,diesel,black,coupe,True,True,False,False,True,True,True,135.0
129,Citroën,202363.0,120.0,diesel,black,coupe,True,False,False,False,True,False,True,87.0
130,Citroën,221500.0,155.0,petrol,grey,coupe,True,True,True,False,True,True,True,96.0
131,Citroën,47876.0,120.0,diesel,blue,coupe,True,True,False,False,True,True,True,158.0
132,Citroën,224613.0,130.0,diesel,white,coupe,False,False,False,False,True,False,True,94.0
133,Citroën,274992.0,210.0,diesel,black,coupe,True,True,False,False,True,True,True,138.0
134,Citroën,91931.0,135.0,diesel,black,coupe,False,False,False,True,True,False,True,112.0
135,Peugeot,23886.0,110.0,diesel,red,coupe,False,True,False,False,True,False,True,129.0
136,Citroën,140464.0,105.0,diesel,blue,coupe,False,False,False,False,False,True,True,94.0
137,Peugeot,50421.0,100.0,diesel,grey,coupe,True,True,False,False,False,True,True,131.0
138,Renault,136545.0,230.0,diesel,black,coupe,True,True,True,False,True,True,True,171.0
139,Peugeot,169970.0,309.0,petrol,grey,coupe,True,True,False,False,True,False,True,189.0
140,PGO,122991.0,170.0,diesel,green,coupe,True,True,True,False,True,False,True,106.0
141,Citroën,102178.0,120.0,petrol,grey,coupe,True,False,False,False,True,False,True,103.0
142,Renault,173302.0,210.0,diesel,grey,coupe,True,True,True,False,True,False,True,139.0
143,Citroën,202811.0,120.0,diesel,black,coupe,True,False,False,False,True,False,True,88.0
144,Citroën,169722.0,145.0,diesel,grey,coupe,True,False,False,False,True,False,True,91.0
145,Citroën,129338.0,135.0,diesel,blue,coupe,True,True,False,False,True,False,True,113.0
146,Citroën,186950.0,120.0,petrol,grey,coupe,True,True,False,False,False,True,True,52.0
147,Peugeot,34463.0,105.0,diesel,blue,coupe,False,False,True,False,False,True,True,154.0
148,Citroën,110818.0,135.0,diesel,black,coupe,True,True,True,False,False,False,True,122.0
149,Citroën,200510.0,135.0,diesel,grey,coupe,True,True,False,False,True,False,True,104.0
150,Renault,161794.0,190.0,diesel,black,coupe,True,True,False,True,True,True,True,152.0
151,Citroën,227832.0,120.0,diesel,black,estate,True,False,False,False,False,False,True,73.0
152,Peugeot,108245.0,100.0,diesel,brown,estate,True,True,True,False,False,False,True,108.0
153,Renault,221018.0,135.0,diesel,black,estate,True,True,False,True,True,False,True,128.0
154,Peugeot,101658.0,100.0,diesel,grey,estate,False,True,False,False,False,False,True,107.0
155,Citroën,163181.0,120.0,diesel,grey,estate,False,False,False,False,False,False,True,91.0
156,Citroën,143180.0,135.0,diesel,black,estate,False,True,False,False,True,False,True,114.0
157,Renault,146310.0,85.0,diesel,black,estate,False,False,False,False,False,False,True,87.0
158,PGO,107560.0,190.0,diesel,grey,estate,False,False,False,False,False,False,False,120.0
159,Peugeot,78425.0,100.0,diesel,beige,estate,False,True,False,False,False,False,True,113.0
160,Renault,95078.0,140.0,diesel,black,estate,False,False,False,False,False,False,False,146.0
161,Renault,246424.0,120.0,diesel,black,estate,True,True,False,False,False,False,True,77.0
162,Peugeot,203950.0,105.0,diesel,white,estate,False,True,False,False,False,False,True,89.0
163,Renault,158002.0,85.0,diesel,white,estate,False,False,False,False,False,False,True,94.0
164,Peugeot,193476.0,105.0,diesel,silver,estate,False,False,False,False,False,False,False,81.0
165,Citroën,209208.0,135.0,diesel,black,estate,False,False,False,False,False,False,False,28.0
166,Renault,135119.0,85.0,diesel,white,estate,False,True,False,False,False,False,True,104.0
167,Renault,199603.0,120.0,diesel,blue,estate,True,True,True,False,True,False,True,114.0
168,Peugeot,41142.0,105.0,diesel,blue,estate,False,False,False,False,False,False,False,135.0
169,Renault,46738.0,85.0,diesel,black,estate,False,False,False,False,False,False,False,120.0
170,Citroën,146639.0,135.0,diesel,silver,estate,False,True,False,False,False,False,True,28.0
171,Renault,159983.0,85.0,diesel,grey,estate,False,False,False,False,False,False,False,28.0
172,Renault,156627.0,85.0,diesel,blue,estate,False,True,False,False,False,False,True,95.0
173,Peugeot,146338.0,105.0,diesel,black,estate,False,True,False,False,False,False,True,115.0
174,Renault,270884.0,100.0,diesel,blue,estate,True,False,False,False,False,False,True,33.0
175,Audi,175096.0,160.0,diesel,blue,estate,False,False,False,False,False,False,False,81.0
176,Citroën,155503.0,135.0,diesel,blue,estate,False,True,False,False,False,False,True,110.0
177,Audi,134094.0,160.0,diesel,white,estate,False,False,False,False,False,False,False,126.0
178,Peugeot,156885.0,100.0,diesel,grey,estate,False,False,False,False,False,False,True,101.0
179,Citroën,302525.0,100.0,diesel,grey,estate,False,False,False,False,False,False,True,32.0
180,Citroën,181052.0,120.0,diesel,black,estate,False,True,False,False,False,False,True,107.0
181,Audi,106054.0,160.0,diesel,black,estate,False,True,False,False,False,False,True,137.0
182,Renault,146528.0,140.0,diesel,white,estate,True,True,True,False,False,False,True,136.0
183,Citroën,183403.0,135.0,diesel,grey,estate,False,True,False,False,False,False,True,107.0
184,Renault,130852.0,85.0,diesel,white,estate,False,False,False,False,False,False,False,88.0
185,Citroën,186697.0,135.0,diesel,white,estate,False,False,False,False,False,False,False,49.0
186,Citroën,132746.0,135.0,diesel,white,estate,False,False,False,False,False,False,False,109.0
187,Citroën,101013.0,120.0,diesel,blue,estate,False,True,False,False,False,False,True,28.0
188,Renault,130019.0,85.0,diesel,white,estate,False,False,False,False,False,False,False,28.0
189,Citroën,90747.0,160.0,diesel,grey,estate,False,False,False,False,False,False,False,106.0
190,Renault,145179.0,85.0,diesel,brown,estate,False,True,False,False,False,False,True,97.0
191,Citroën,87171.0,135.0,diesel,silver,estate,False,False,False,False,False,False,False,137.0
192,Citroën,110212.0,135.0,diesel,black,estate,False,False,False,False,False,False,False,95.0
193,Peugeot,11917.0,110.0,diesel,white,estate,False,False,False,False,False,False,False,153.0
194,Peugeot,12508.0,110.0,diesel,white,estate,False,False,False,False,False,False,False,154.0
195,PGO,149525.0,190.0,diesel,silver,estate,False,False,False,False,False,False,False,124.0
196,Peugeot,122357.0,105.0,diesel,grey,estate,False,True,False,False,False,False,True,117.0
197,Citroën,165516.0,135.0,diesel,blue,estate,False,False,False,False,False,False,True,28.0
198,Peugeot,158853.0,100.0,diesel,black,estate,True,False,False,False,False,False,True,104.0
199,Peugeot,167280.0,105.0,diesel,white,estate,False,True,False,False,False,False,True,115.0
200,Citroën,69978.0,135.0,diesel,grey,estate,False,False,False,False,False,False,False,134.0
201,Peugeot,105105.0,105.0,diesel,white,estate,False,False,False,False,False,False,False,77.0
202,Peugeot,170164.0,105.0,diesel,grey,estate,False,True,False,False,False,False,True,28.0
203,Peugeot,153585.0,105.0,diesel,white,estate,False,False,False,False,False,False,False,117.0
204,Audi,156127.0,190.0,diesel,black,estate,True,True,False,False,True,True,True,133.0
205,Citroën,117722.0,122.0,diesel,black,estate,False,False,False,False,False,False,True,96.0
206,Citroën,236095.0,135.0,diesel,blue,estate,False,False,False,False,False,False,True,78.0
207,Renault,142031.0,85.0,diesel,black,estate,False,True,False,False,False,False,True,114.0
208,Peugeot,150807.0,105.0,diesel,black,estate,False,True,False,False,False,False,True,107.0
209,Peugeot,185085.0,105.0,diesel,white,estate,False,True,False,False,False,False,True,96.0
210,Citroën,163879.0,120.0,diesel,grey,estate,False,False,False,False,False,False,True,93.0
211,Audi,137744.0,200.0,petrol,black,estate,False,True,True,False,True,False,False,142.0
212,Renault,94829.0,85.0,diesel,grey,estate,False,False,False,False,False,False,False,112.0
213,PGO,127461.0,190.0,diesel,silver,estate,False,True,False,False,False,False,True,28.0
214,Citroën,58673.0,135.0,diesel,grey,estate,False,False,False,False,False,False,False,135.0
215,Citroën,183683.0,135.0,diesel,black,estate,False,False,False,False,False,False,True,35.0
216,Citroën,153236.0,135.0,diesel,blue,estate,False,True,False,True,False,False,True,109.0
217,Peugeot,65933.0,105.0,diesel,white,estate,False,False,False,False,False,False,False,123.0
218,Citroën,77419.0,120.0,diesel,grey,estate,False,False,False,False,False,False,False,110.0
219,Citroën,170322.0,120.0,diesel,black,estate,False,False,False,False,False,False,False,113.0
220,Renault,83133.0,85.0,diesel,white,estate,False,True,False,False,False,False,True,120.0
221,Citroën,140324.0,135.0,diesel,silver,estate,False,False,False,False,False,False,False,88.0
222,Peugeot,147097.0,105.0,diesel,black,estate,False,False,False,False,False,False,False,28.0
223,Peugeot,132871.0,85.0,diesel,grey,estate,True,False,False,False,False,False,True,66.0
224,Peugeot,109741.0,100.0,diesel,grey,estate,True,True,False,False,False,False,True,110.0
225,Citroën,168016.0,135.0,diesel,red,estate,False,True,False,False,True,True,True,110.0
226,Renault,238036.0,120.0,diesel,black,estate,True,True,False,False,False,False,True,114.0
227,Renault,147228.0,85.0,diesel,silver,estate,True,True,False,False,False,False,True,103.0
228,Audi,159659.0,190.0,diesel,black,estate,True,True,False,True,True,True,True,142.0
229,Peugeot,123340.0,105.0,diesel,brown,estate,False,True,False,False,False,True,True,119.0
230,Peugeot,168068.0,100.0,diesel,grey,estate,False,True,False,False,False,False,True,89.0
231,Citroën,163601.0,120.0,diesel,beige,estate,False,True,False,False,False,False,True,108.0
232,Citroën,149108.0,135.0,diesel,white,estate,False,True,True,False,False,False,True,106.0
233,Renault,173446.0,135.0,diesel,black,estate,True,True,False,False,True,False,True,125.0
234,Citroën,197516.0,135.0,diesel,black,estate,True,True,False,False,False,False,True,100.0
235,Peugeot,170832.0,100.0,diesel,blue,estate,True,True,False,False,False,False,True,101.0
236,Citroën,149085.0,135.0,diesel,black,estate,True,True,False,False,True,False,True,122.0
237,Audi,255957.0,230.0,diesel,grey,estate,True,True,True,True,True,True,True,133.0
238,Renault,175024.0,135.0,diesel,blue,estate,True,True,True,False,True,True,True,117.0
239,Peugeot,132731.0,100.0,diesel,grey,estate,True,True,False,False,False,False,True,112.0
240,Audi,214691.0,120.0,diesel,black,estate,True,True,False,False,True,False,True,71.0
241,Citroën,177568.0,120.0,diesel,brown,estate,False,True,False,False,False,False,True,101.0
242,Citroën,106878.0,135.0,diesel,white,estate,False,True,False,False,True,True,True,124.0
243,Peugeot,144727.0,105.0,diesel,white,estate,False,True,True,False,True,True,True,120.0
244,Audi,46731.0,140.0,diesel,blue,estate,False,False,False,False,False,False,False,109.0
245,Citroën,150969.0,135.0,diesel,blue,estate,False,False,False,False,False,False,True,28.0
246,Peugeot,164900.0,100.0,diesel,silver,estate,False,True,False,False,False,False,True,85.0
247,Peugeot,150002.0,100.0,diesel,red,estate,False,True,False,False,False,True,True,103.0
248,Renault,117872.0,85.0,diesel,black,estate,True,True,False,False,False,False,True,102.0
249,Citroën,66314.0,135.0,diesel,white,estate,False,False,False,False,False,False,False,127.0
250,Peugeot,216114.0,105.0,diesel,blue,estate,False,True,False,False,False,False,True,99.0
251,Peugeot,159505.0,100.0,diesel,grey,estate,False,False,False,False,False,False,True,100.0
252,Citroën,221904.0,100.0,diesel,blue,estate,True,False,False,False,True,False,True,35.0
253,Renault,147243.0,120.0,diesel,blue,estate,True,True,True,False,True,False,True,128.0
254,Audi,140638.0,160.0,diesel,black,estate,True,True,False,False,True,True,True,133.0
255,Citroën,123796.0,135.0,diesel,black,estate,True,True,False,False,True,True,True,125.0
256,Renault,201102.0,85.0,diesel,black,estate,True,False,False,False,False,False,True,94.0
257,Peugeot,238592.0,90.0,diesel,grey,estate,False,True,False,False,False,False,True,62.0
258,Peugeot,182798.0,105.0,diesel,white,estate,True,False,False,False,False,False,True,102.0
259,Peugeot,116868.0,105.0,diesel,white,estate,False,True,False,False,True,False,True,117.0
260,Peugeot,64486.0,100.0,diesel,blue,estate,True,True,False,False,False,False,True,111.0
261,Peugeot,167013.0,100.0,diesel,black,estate,True,True,False,False,False,False,True,111.0
262,Peugeot,319724.0,90.0,diesel,grey,estate,True,False,False,False,False,False,True,55.0
263,Citroën,103683.0,120.0,diesel,black,estate,True,True,True,False,False,False,True,102.0
264,Citroën,73416.0,120.0,diesel,blue,estate,False,True,False,False,False,False,True,130.0
265,Renault,142724.0,120.0,diesel,black,estate,True,True,False,False,True,False,True,122.0
266,Citroën,127017.0,120.0,diesel,grey,estate,False,True,False,False,False,False,True,114.0
267,Citroën,151391.0,120.0,diesel,grey,estate,False,True,False,False,False,True,True,123.0
268,Renault,88985.0,135.0,diesel,grey,estate,True,True,False,False,True,False,True,135.0
269,Citroën,186684.0,120.0,diesel,brown,estate,True,True,False,False,False,False,True,107.0
270,Renault,156756.0,120.0,diesel,black,estate,True,True,False,False,False,False,True,117.0
271,Citroën,236259.0,135.0,diesel,blue,estate,False,False,False,False,False,False,True,80.0
272,Citroën,233375.0,135.0,diesel,black,estate,False,True,False,False,False,False,True,98.0
273,Peugeot,195032.0,100.0,diesel,grey,estate,False,False,False,False,False,False,True,70.0
274,Peugeot,228885.0,100.0,diesel,grey,estate,True,True,True,False,False,False,True,77.0
275,Renault,214613.0,85.0,diesel,white,estate,False,True,False,False,False,False,True,91.0
276,Peugeot,154190.0,105.0,diesel,black,estate,False,True,False,False,True,False,True,106.0
277,Citroën,243093.0,110.0,diesel,grey,estate,True,False,False,False,False,False,True,37.0
278,Peugeot,79526.0,105.0,diesel,white,estate,False,False,False,False,False,False,False,122.0
279,Citroën,169449.0,135.0,diesel,brown,estate,True,False,False,False,False,False,True,103.0
280,Renault,157968.0,120.0,diesel,grey,estate,True,True,True,False,True,False,True,119.0
281,Citroën,161034.0,120.0,diesel,black,estate,True,True,False,False,True,True,True,122.0
282,Peugeot,197704.0,100.0,diesel,brown,estate,False,True,False,False,False,False,True,97.0
283,Renault,83268.0,85.0,diesel,brown,estate,False,True,False,False,True,False,True,111.0
284,Citroën,139999.0,120.0,diesel,blue,estate,False,True,False,False,True,True,True,122.0
285,Peugeot,139649.0,105.0,diesel,white,estate,False,True,False,False,False,False,True,99.0
286,Citroën,173160.0,122.0,diesel,grey,estate,True,True,False,False,True,False,True,114.0
287,Peugeot,80340.0,100.0,diesel,grey,estate,False,True,False,False,False,False,True,115.0
288,Audi,234787.0,230.0,diesel,black,estate,True,True,False,True,True,True,True,139.0
289,Peugeot,181297.0,105.0,diesel,brown,estate,False,True,False,False,True,True,True,115.0
290,Audi,223829.0,190.0,diesel,black,estate,True,True,True,True,True,False,True,144.0
291,Renault,163675.0,135.0,diesel,brown,estate,True,True,True,False,True,False,True,122.0
292,Citroën,110136.0,120.0,diesel,white,estate,True,True,False,False,True,True,True,133.0
293,Audi,230212.0,150.0,diesel,blue,estate,True,True,False,False,True,True,True,119.0
294,Peugeot,125974.0,105.0,diesel,grey,estate,False,True,False,False,False,False,True,117.0
295,Renault,93866.0,140.0,diesel,black,estate,False,False,False,False,False,False,False,142.0
296,Audi,151555.0,230.0,diesel,blue,estate,True,True,True,False,True,False,True,149.0
297,Renault,132522.0,140.0,diesel,black,estate,True,True,False,False,False,True,True,144.0
298,Citroën,150534.0,135.0,diesel,brown,estate,False,False,False,False,False,True,True,106.0
299,Renault,194410.0,85.0,diesel,black,estate,False,True,False,False,True,False,True,92.0
300,Peugeot,161581.0,105.0,diesel,blue,estate,True,True,True,False,True,False,True,114.0
301,Citroën,194748.0,120.0,diesel,black,estate,False,True,False,False,True,False,True,110.0
302,Renault,165274.0,135.0,diesel,silver,estate,False,True,False,False,True,False,True,128.0
303,Renault,188155.0,135.0,diesel,black,estate,False,True,False,False,True,False,True,122.0
304,Renault,130335.0,135.0,diesel,grey,estate,True,True,False,False,False,False,True,121.0
305,Audi,148738.0,230.0,diesel,grey,estate,True,True,True,False,False,False,True,170.0
306,Renault,127511.0,140.0,diesel,black,estate,True,True,False,False,True,False,True,141.0
307,Audi,187176.0,190.0,diesel,black,estate,False,True,False,True,True,False,True,141.0
308,Citroën,111523.0,120.0,diesel,black,estate,False,False,False,False,False,False,False,125.0
309,Audi,218341.0,120.0,diesel,grey,estate,True,True,True,False,False,False,True,73.0
310,Audi,172496.0,190.0,diesel,black,estate,True,True,True,False,True,False,True,141.0
311,Citroën,149390.0,135.0,diesel,white,estate,False,True,True,False,False,False,True,107.0
312,Citroën,171848.0,120.0,diesel,black,estate,False,True,False,False,True,False,False,113.0
313,Citroën,180574.0,135.0,diesel,white,estate,False,True,False,True,True,False,True,121.0
